Sensor Type,Drift (in s),MAE,Standard Deviation,RMSE
Accelerometer,0.25,0.156,0.224,0.273
Accelerometer,0.5,0.181,0.246,0.306
Accelerometer,0.75,0.206,0.287,0.353
Accelerometer,1.25,0.256,0.399,0.474
Accelerometer,1.5,0.397,0.607,0.725
Accelerometer,1.75,0.403,0.649,0.764
Accelerometer,1,0.231,0.339,0.41
Accelerometer,2,1.085,1.098,1.544
Pressure Mat,0.25,0.231,0.409,0.47
Pressure Mat,0.5,0.256,0.417,0.489
Pressure Mat,0.75,0.281,0.437,0.52
Pressure Mat,1.25,0.332,0.51,0.609
Pressure Mat,1.5,0.359,0.558,0.663
Pressure Mat,1.75,0.596,0.711,0.927
Pressure Mat,1,0.307,0.469,0.561
Pressure Mat,2,1.044,0.957,1.416
